Code,SMILES,Classifications,Backbone_Type,Backbone_Info
FPG2,OC(=O)[C@H](c1ccccc1F)[NH3],aromatic;cyclic;d_amino,alpha,默认分类
FPG3,OC(=O)[C@H](c1cccc(c1)F)[NH3],cyclic;d_amino,alpha,默认分类
FPG4,[NH3][C@@H](c1ccc(cc1)F)C(=O)O,cyclic,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
FPH2,OC(=O)[C@H](Cc1ccccc1F)[NH3],aromatic;cyclic;d_amino,alpha,默认分类
FPH3,OC(=O)[C@H](Cc1cccc(c1)F)[NH3],cyclic;d_amino,alpha,默认分类
FT6,OC(=O)[C@H](Cc1c[nH]c2c1ccc(c2)F)[NH3],cyclic;d_amino,alpha,默认分类
FTR,[NH3][C@H](C(=O)O)Cc1c[nH]c2c1cc(F)cc2,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
FUA2,OC(=O)[C@H](Cc1ccco1)[NH3],aromatic;cyclic;d_amino,alpha,默认分类
FVAL,[NH3][C@@H](C(F)(C)C)C(=O)O,unclassified,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
GBUT,O=[C](=O)[C@H](CC[NH]=[C](=[NH2])=[NH2])[NH3],cyclic;d_amino,alpha,默认分类
GDPR,[NH3][C@H]([C](=O)=O)C[NH]=[C](=[NH2])=[NH2],cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*\[C\]\(=O\)=O
GGB,[NH3][C@H]([C](=O)=O)CCON=C(N)N,d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*\[C\]\(=O\)=O
GHG,NC(=O)[C@H](C[C@@H]([C](=O)=O)[NH3])O,d_amino;n_methyl,alpha,默认分类
GLN,[NH3][C@@H](CCC(=O)N)C(=O)O,unclassified,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
GLU,[NH3][C@@H](CCC(=O)O)C(=O)O,unclassified,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
GLY,NCC(=O)O,unclassified,alpha,匹配模式: NCC\(=O\)O
GME,COC(=O)CC[C@@H](C(=O)O)[NH3],unclassified,alpha,默认分类
HCS,[NH3][C@H](C(=O)O)CCS,d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
HGA,ONC(=O)CC[C@@H](C(=O)O)[NH3],n_methyl,alpha,默认分类
HHK,[NH3]CCCCCC[C@@H](C(=O)O)[NH3],cyclic,alpha,赖氨酸衍生物（α氨基酸带侧链氨基）
HIL4,C[C@H]([C@@H]([C@@H](C(=O)O)[NH3])C)O,d_amino,alpha,默认分类
HIS,[NH3][C@@H](Cc1c[nH]cn1)C(=O)O,cyclic,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
HL2,CC([C@H]([C@@H](C(=O)O)[NH3])O)C,d_amino,alpha,默认分类
HLEU,[NH3][C@H]([C](=O)=O)CCC(C)C,d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*\[C\]\(=O\)=O
HLU,CC([C@@H]([C@@H]([C](=O)=O)[NH3])O)C,unclassified,alpha,默认分类
HOX,[NH3][C@H](C(=O)O)Cc1ccc(cc1)N,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
HPE,[NH3][C@H](C(=O)O)CCc1ccccc1,aromatic;cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
HQA,OC(=O)[C@H](Cc1cnc2c(c1)cccc2O)[NH3],cyclic;d_amino,alpha,默认分类
HRG,[NH2]=[C](=[NH]CCCC[C@@H](C(=O)O)[NH3])=[NH2],cyclic;n_methyl,alpha,默认分类
HRP,OC(=O)[C@H](Cc1c[nH]c2c1cc(O)cc2)[NH3],cyclic;d_amino,alpha,默认分类
HSER,OCC[C@@H](C(=O)O)[NH3],unclassified,alpha,默认分类
HTR,OC(=O)[C@H]([C@H](c1c[nH]c2c1cccc2)O)[NH3],cyclic;d_amino,alpha,默认分类
HVA,[NH3][C@@H](C(O)(C)C)[C](=O)=O,unclassified,alpha,匹配模式: \[NH3\]\[C@@?H\].*\[C\]\(=O\)=O
I2M,CCC([C@@H](C(=O)O)[NH3])(C)C,unclassified,alpha,默认分类
IGL,[NH3][C@H]([C](=O)=O)[C@@H]1Cc2c(C1)cccc2,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*\[C\]\(=O\)=O
IIL,CC[C@H]([C@@H](C(=O)O)[NH3])C,d_amino,alpha,默认分类
ILE,[NH3][C@@H]([C@H](CC)C)C(=O)O,d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
ILX,OC[C@@H]([C@@H]([C@@H]([C](=O)=O)[NH3])C)O,unclassified,alpha,默认分类
IYR,OC(=O)[C@H](Cc1ccc(c(c1)I)O)[NH3],cyclic;d_amino,alpha,默认分类
KYN,OC(=O)[C@H](CC(=O)c1ccccc1N)[NH3],aromatic;cyclic;d_amino,alpha,默认分类
